Time Floor FloorButton CarButton
10:11:32.0 13 Up 18
02:38:34.0 14 Down 7
21:28:50.0 14 Down 12
11:04:44.0 21 Up 22
12:38:15.0 2 Up 5
05:58:59.0 6 Down 3
19:25:18.0 12 Down 7
07:09:41.0 1 Up 21
10:16:55.0 5 Down 2
03:12:28.0 3 Down 1
10:24:53.0 17 Up 19
01:21:09.0 15 Up 16
19:33:46.0 8 Down 5
14:26:53.0 11 Down 4
16:09:05.0 3 Down 1
08:55:43.0 4 Up 5
21:56:11.0 1 Up 2
02:08:26.0 18 Up 21
17:20:29.0 4 Down 2
20:58:42.0 8 Down 6
16:51:46.0 9 Down 7
18:58:55.0 14 Down 11
04:48:52.0 16 Down 1
10:51:25.0 2 Up 19
12:58:56.0 12 Down 4
04:53:30.0 19 Down 3
05:00:47.0 17 Up 18
08:00:11.0 21 Up 22
02:08:42.0 17 Up 21
10:26:24.0 17 Down 11
02:25:57.0 3 Up 15
01:15:37.0 1 Up 18
20:51:39.0 3 Up 7
19:34:00.0 16 Down 1
13:40:49.0 18 Up 20
08:36:05.0 5 Up 8
18:23:46.0 4 Down 2
00:02:01.0 17 Up 18
06:15:37.0 4 Down 2
00:51:03.0 12 Up 15
18:57:06.0 16 Up 18
23:34:34.0 2 Up 8
01:11:33.0 15 Up 21
11:09:08.0 4 Down 2
13:21:22.0 7 Down 2
21:45:07.0 9 Up 16
22:21:50.0 12 Up 14
01:38:19.0 12 Down 2
11:04:03.0 15 Up 16
04:38:36.0 7 Down 1
07:02:46.0 10 Up 16
09:00:07.0 2 Down 1
13:29:13.0 20 Down 4
15:31:16.0 21 Up 22
10:01:23.0 10 Down 8
14:08:25.0 2 Down 1
08:00:05.0 21 Up 22
23:31:30.0 1 Up 14
19:57:32.0 21 Down 12
11:06:33.0 6 Up 9
20:12:16.0 13 Down 11
20:41:30.0 21 Up 22
21:32:33.0 5 Down 2
20:10:45.0 8 Down 5
04:18:13.0 14 Down 5
23:41:28.0 12 Up 20
05:47:35.0 21 Up 22
02:18:36.0 21 Down 17
07:05:53.0 16 Down 6
07:52:51.0 15 Up 20
07:46:13.0 18 Up 21
23:27:28.0 9 Down 2
07:33:42.0 21 Down 19
19:33:52.0 10 Down 8
22:25:41.0 20 Down 5
03:08:32.0 5 Up 10
